iso_code,amusementparks,nightlife,beaches,camping,exploringnature,eatingout,museums,showstheatresandmusic,wellness,zoos
SVK,6.788650312186174,7.169064330017084,5.367137572171812,6.09205750534118,9.241854795882208,7.270595322272312,9.050631843344002,7.678885068714535,6.07313735154913,7.250531965949983
SVN,6.375119355507533,7.044341386794619,4.943103704792052,6.339322702820171,9.14960100293172,7.451979510088455,8.17138725784647,6.8409981489898275,5.7457632535327035,6.268542940109644
ESP,9.063650757862346,9.206825293600222,9.2175553098711,6.522098422706105,9.42247849823191,9.6712026087091,9.859400980119991,8.909675220161292,6.223505594140654,9.40654831539702
SUR,3.2701659240709655,6.062660059781433,4.9180284056948285,0.7814538779287095,6.090196028632137,5.9785840006043225,6.553246919382793,4.638496225693632,0.1643531871059655,7.923480995458824
SWE,8.162895795793663,7.923703464044657,7.2327807021989665,6.413548263266151,8.330085442613269,8.359037546446146,9.646768979489533,8.195432603691701,5.975382072398222,7.973346388960309
CHE,6.4498911101238665,8.021018297033228,6.583208128451998,6.016638595193386,9.637183814446413,7.687728601807256,9.349694444457246,7.707000062224607,5.748066056556379,8.462221250629742
TWN,8.612349099117964,7.307624649573899,7.503285634860476,4.266004429263702,9.03803574322508,7.778627904195587,9.58765215956667,8.082916666726849,4.383606802374216,8.108648667922694
TZA,4.851899752203622,6.019052092773107,6.823016953118118,6.4301623863975435,8.08353869617333,7.032964513822164,7.605919893652387,3.2383826479090607,1.6532044438483509,5.449720897539157
THA,7.335685901910002,7.696875916962659,8.759194263553276,5.7499415359473,8.2175683427981,7.349270634131588,8.846047960710235,6.788306634081039,6.3731543732644695,8.157515618389281
TUN,5.804501511238573,6.046456823173964,3.957677139574456,1.2332784594728294,6.409650832114295,6.292516191357715,8.381584565531568,5.511744559108044,0.2084052718178866,5.122693980171587
TUR,6.381517099519063,7.34161771940213,7.859915843427567,6.121879599564982,8.935560465607328,7.933985859303873,9.7163807572387,7.872871883039669,6.02189801169998,7.073059221337932
UGA,4.574713954069479,5.914813541983213,5.806985524780163,6.43603199546198,8.185831437521895,6.667189686832735,5.934936444843142,4.911683486453128,0.2168716284170743,5.686534549932273
UKR,6.899476750341243,7.715595406003337,7.206051382498764,2.0787714381064744,8.682785343018741,7.156537191078664,9.533781290591596,8.483657373524965,6.373943059566052,7.028098106927425
URY,5.474119669516482,6.585580264418406,7.219481811583135,2.4601094586861354,6.868638157953011,7.078144168593039,8.258844454356634,6.120013092682534,3.890327582772481,6.2498748102465775
